,collection_date,lineage,abundance
286,2024-04-18,KP.3.X,0.0
287,2023-10-16,KP.3.X,0.0
288,2023-08-21,KP.3.X,0.0
289,2024-05-13,KP.3.X,0.0
290,2024-04-15,KP.3.X,0.00011386
291,2024-05-16,KP.3.X,0.0
292,2023-10-30,KP.3.X,0.0
293,2024-11-14,KP.3.X,0.0
294,2023-09-28,KP.3.X,0.0
295,2024-12-09,KP.3.X,0.25390762
296,2024-02-15,KP.3.X,0.0
297,2024-09-30,KP.3.X,0.99890436
298,2023-10-26,KP.3.X,0.0
299,2024-08-12,KP.3.X,0.0
300,2023-10-19,BA.5.X,0.0
301,2023-10-02,BA.5.X,0.0
302,2024-04-11,BA.5.X,5.6e-07
303,2024-12-02,BA.5.X,0.0
304,2024-07-04,BA.5.X,0.0
305,2024-06-27,BA.5.X,1.38e-06
306,2024-05-20,BA.5.X,0.0
307,2023-05-10,BA.5.X,0.0
308,2023-09-21,BA.5.X,0.0
309,2024-04-04,BA.5.X,1.68e-06
310,2024-11-11,BA.5.X,2.4510000000000008e-05
311,2024-10-24,BA.5.X,0.0
312,2024-08-26,BA.5.X,0.0
313,2023-09-18,BA.5.X,0.0
314,2024-07-08,BA.5.X,4.279e-05
315,2024-12-05,BA.5.X,0.0
316,2024-04-18,BA.5.X,0.0
317,2023-10-16,BA.5.X,0.0
318,2023-08-21,BA.5.X,0.0
319,2024-05-13,BA.5.X,6.104e-05
320,2024-04-15,BA.5.X,6.699999999999999e-07
321,2024-05-16,BA.5.X,0.0
322,2023-10-30,BA.5.X,2.1699999999999996e-06
323,2024-11-14,BA.5.X,0.0
324,2023-09-28,BA.5.X,0.00026645
325,2024-12-09,BA.5.X,4.4e-07
326,2024-02-15,BA.5.X,0.0
327,2024-09-30,BA.5.X,0.0
328,2023-10-26,BA.5.X,0.0
329,2024-08-12,BA.5.X,0.0
330,2023-10-19,LB.1.3.4.X,0.0
331,2023-10-02,LB.1.3.4.X,0.0
332,2024-04-11,LB.1.3.4.X,0.0
333,2024-12-02,LB.1.3.4.X,0.168224
334,2024-07-04,LB.1.3.4.X,0.0
335,2024-06-27,LB.1.3.4.X,0.99969703
336,2024-05-20,LB.1.3.4.X,0.0
337,2023-05-10,LB.1.3.4.X,0.0
338,2023-09-21,LB.1.3.4.X,0.0
339,2024-04-04,LB.1.3.4.X,0.0
340,2024-11-11,LB.1.3.4.X,0.39969075
341,2024-10-24,LB.1.3.4.X,0.0002859
342,2024-08-26,LB.1.3.4.X,1.0
343,2023-09-18,LB.1.3.4.X,0.0
344,2024-07-08,LB.1.3.4.X,0.0
345,2024-12-05,LB.1.3.4.X,0.9999999900000001
346,2024-04-18,LB.1.3.4.X,0.0
347,2023-10-16,LB.1.3.4.X,0.0
348,2023-08-21,LB.1.3.4.X,0.0
349,2024-05-13,LB.1.3.4.X,0.0
350,2024-04-15,LB.1.3.4.X,0.0
351,2024-05-16,LB.1.3.4.X,0.0
352,2023-10-30,LB.1.3.4.X,0.0
353,2024-11-14,LB.1.3.4.X,0.0108066
354,2023-09-28,LB.1.3.4.X,0.0
355,2024-12-09,LB.1.3.4.X,0.405405
356,2024-02-15,LB.1.3.4.X,0.0
357,2024-09-30,LB.1.3.4.X,0.0
358,2023-10-26,LB.1.3.4.X,0.0
359,2024-08-12,LB.1.3.4.X,0.0
360,2023-10-19,LP.8.X,0.0
361,2023-10-02,LP.8.X,0.0
362,2024-04-11,LP.8.X,0.0
363,2024-12-02,LP.8.X,0.00606237
364,2024-07-04,LP.8.X,0.0
365,2024-06-27,LP.8.X,0.0
366,2024-05-20,LP.8.X,0.0
367,2023-05-10,LP.8.X,0.0
368,2023-09-21,LP.8.X,0.0
369,2024-04-04,LP.8.X,0.0
370,2024-11-11,LP.8.X,2.2899999999999997e-06
371,2024-10-24,LP.8.X,0.00036791
372,2024-08-26,LP.8.X,0.0
373,2023-09-18,LP.8.X,0.0
374,2024-07-08,LP.8.X,0.0
375,2024-12-05,LP.8.X,0.0
376,2024-04-18,LP.8.X,0.0
377,2023-10-16,LP.8.X,0.0
378,2023-08-21,LP.8.X,0.0
379,2024-05-13,LP.8.X,0.0
380,2024-04-15,LP.8.X,0.0
381,2024-05-16,LP.8.X,0.0
382,2023-10-30,LP.8.X,0.0
383,2024-11-14,LP.8.X,7.002e-05
384,2023-09-28,LP.8.X,0.0
385,2024-12-09,LP.8.X,0.01415079
386,2024-02-15,LP.8.X,0.0
387,2024-09-30,LP.8.X,0.0
388,2023-10-26,LP.8.X,0.0
389,2024-08-12,LP.8.X,0.0
390,2023-10-19,XEC.X,0.0
391,2023-10-02,XEC.X,0.0
392,2024-04-11,XEC.X,0.0
393,2024-12-02,XEC.X,0.00190114
394,2024-07-04,XEC.X,0.0
395,2024-06-27,XEC.X,0.0
396,2024-05-20,XEC.X,0.0
397,2023-05-10,XEC.X,0.0
398,2023-09-21,XEC.X,0.0
399,2024-04-04,XEC.X,0.0
400,2024-11-11,XEC.X,2.2e-06
401,2024-10-24,XEC.X,2.35e-06
402,2024-08-26,XEC.X,0.0
403,2023-09-18,XEC.X,0.0
404,2024-07-08,XEC.X,0.0
405,2024-12-05,XEC.X,0.0
406,2024-04-18,XEC.X,0.0
407,2023-10-16,XEC.X,0.0
408,2023-08-21,XEC.X,0.0
409,2024-05-13,XEC.X,0.0
410,2024-04-15,XEC.X,0.0
411,2024-05-16,XEC.X,0.0
412,2023-10-30,XEC.X,0.0
413,2024-11-14,XEC.X,0.0
414,2023-09-28,XEC.X,0.0
415,2024-12-09,XEC.X,0.0
416,2024-02-15,XEC.X,0.0
417,2024-09-30,XEC.X,0.0
418,2023-10-26,XEC.X,0.0
419,2024-08-12,XEC.X,0.0
420,2023-10-19,Delta,0.0
421,2023-10-02,Delta,0.0
422,2024-04-11,Delta,0.0
423,2024-12-02,Delta,0.0
424,2024-07-04,Delta,0.0
425,2024-06-27,Delta,2.3e-07
426,2024-05-20,Delta,0.0
427,2023-05-10,Delta,2.3e-07
428,2023-09-21,Delta,0.0
429,2024-04-04,Delta,6.3e-07
430,2024-11-11,Delta,3.54e-06
431,2024-10-24,Delta,0.0
432,2024-08-26,Delta,0.0
433,2023-09-18,Delta,0.0
434,2024-07-08,Delta,0.0
435,2024-12-05,Delta,0.0
436,2024-04-18,Delta,0.0
437,2023-10-16,Delta,0.0
438,2023-08-21,Delta,0.0
439,2024-05-13,Delta,0.0
440,2024-04-15,Delta,0.0
441,2024-05-16,Delta,0.0
442,2023-10-30,Delta,4.1e-07
443,2024-11-14,Delta,0.0
444,2023-09-28,Delta,0.0
445,2024-12-09,Delta,3.2e-07
446,2024-02-15,Delta,0.0
447,2024-09-30,Delta,0.0
448,2023-10-26,Delta,0.0
449,2024-08-12,Delta,0.0
450,2023-10-19,LB.1.3.X,0.0
451,2023-10-02,LB.1.3.X,0.0
452,2024-04-11,LB.1.3.X,0.0
453,2024-12-02,LB.1.3.X,0.0
454,2024-07-04,LB.1.3.X,0.0
455,2024-06-27,LB.1.3.X,0.0
456,2024-05-20,LB.1.3.X,6.051e-05
457,2023-05-10,LB.1.3.X,0.0
458,2023-09-21,LB.1.3.X,0.0
459,2024-04-04,LB.1.3.X,0.0
460,2024-11-11,LB.1.3.X,0.6002338599999999
461,2024-10-24,LB.1.3.X,5.4e-05
462,2024-08-26,LB.1.3.X,0.0
463,2023-09-18,LB.1.3.X,0.0
464,2024-07-08,LB.1.3.X,0.850501
465,2024-12-05,LB.1.3.X,0.0
466,2024-04-18,LB.1.3.X,0.00014105
467,2023-10-16,LB.1.3.X,0.0
468,2023-08-21,LB.1.3.X,0.0
469,2024-05-13,LB.1.3.X,5.55e-05
470,2024-04-15,LB.1.3.X,0.00010626
471,2024-05-16,LB.1.3.X,0.0
472,2023-10-30,LB.1.3.X,2.7e-07
473,2024-11-14,LB.1.3.X,0.05948067
474,2023-09-28,LB.1.3.X,0.0
475,2024-12-09,LB.1.3.X,0.04286135
476,2024-02-15,LB.1.3.X,0.0
477,2024-09-30,LB.1.3.X,0.0
478,2023-10-26,LB.1.3.X,0.0
479,2024-08-12,LB.1.3.X,0.0
480,2023-10-19,BA.2.12.X,0.0
481,2023-10-02,BA.2.12.X,0.0
482,2024-04-11,BA.2.12.X,0.0
483,2024-12-02,BA.2.12.X,0.0
484,2024-07-04,BA.2.12.X,0.0
485,2024-06-27,BA.2.12.X,0.0
486,2024-05-20,BA.2.12.X,0.0
487,2023-05-10,BA.2.12.X,4.456e-05
488,2023-09-21,BA.2.12.X,0.0
489,2024-04-04,BA.2.12.X,0.0
490,2024-11-11,BA.2.12.X,0.0
491,2024-10-24,BA.2.12.X,0.0
492,2024-08-26,BA.2.12.X,0.0
